run_id,stage_id,model_id,model_role,dataset_role,spike_def_id,target_rate,g_condition,g,b_time,b_depth,b_tot,delta_b_tot,chi,n_sequences,ppl,nll_mean,opt_b_time_ci_low,opt_b_time_ci_high,opt_b_depth_ci_low,opt_b_depth_ci_high,opt_b_tot_ci_low,opt_b_tot_ci_high,opt_delta_b_tot_ci_low,opt_delta_b_tot_ci_high,opt_chi_ci_low,opt_chi_ci_high,opt_nll_mean_ci_low,opt_nll_mean_ci_high,opt_ppl_ci_low,opt_ppl_ci_high,config_hash,code_version
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,1e-05,g1,1.0,0.557794880714265,0.5342058729744615,1.0920007536887266,0.17264544743021148,238.1975362711837,96,15.17313065902461,2.7195261437908496,0.5476328670041907,0.5673149179431123,0.5247556257907203,0.5426828540391608,1.0724484762589575,1.1098612115258317,0.16672867273598702,0.17912635419442577,161.06791148202777,337.7195874455318,2.6007066993464054,2.840829248366013,13.473258410564805,17.129977474664845,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,1e-05,gstar,0.7,0.5648944603735562,0.5271795099760693,1.0920739703496256,0.1850221896231099,287.8051551996147,96,17.62650252607634,2.8694035947712417,0.5522217485778225,0.5770679014039015,0.5161731287670723,0.5381076228469773,1.068963598341533,1.1147244515525512,0.17711054945833832,0.19222825128459048,207.20390966277793,374.87878786125304,2.753501838235294,2.9865032679738563,15.697522339720356,19.816285907027986,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,2e-05,g1,1.0,0.6582968213467817,0.6473037406972723,1.305600562044054,0.12837423855829178,325.41529450857706,96,15.17313065902461,2.7195261437908496,0.6484756358663132,0.6678461688323954,0.6387451054355591,0.6560914299476694,1.2871500132315508,1.3240069736808784,0.12330566014272196,0.13311755539567086,211.73910562724146,459.8192090148512,2.6007066993464054,2.840829248366013,13.473258410564805,17.129977474664845,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,2e-05,gstar,0.7,0.660439925755603,0.6419009890018561,1.3023409147574592,0.13970967116380884,408.21787659892385,96,17.62650252607634,2.8694035947712417,0.6496575089663422,0.6702811237494533,0.6318133564003603,0.6509784357477053,1.2813032855915405,1.3211174256720075,0.13352508806027644,0.14684395549732143,294.2908197300252,538.0717031795646,2.753501838235294,2.9865032679738563,15.697522339720356,19.816285907027986,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,4e-05,g1,1.0,0.7652254615757232,0.7580494433656125,1.5232749049413359,0.0814010811181558,470.26238037326743,96,15.17313065902461,2.7195261437908496,0.7573066066490132,0.7723264995286301,0.7515279384411021,0.7639376322122905,1.5092236651009892,1.536075612828188,0.07751094493458692,0.08536179997697854,305.56411328998036,645.8599451961051,2.6007066993464054,2.840829248366013,13.473258410564805,17.129977474664845,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,4e-05,gstar,1.3,0.762182790366745,0.7544986093443435,1.5166813997110884,0.07698626592785818,385.39929414701425,96,16.300185214293222,2.791176470588235,0.7548986027073122,0.7687093205298072,0.7487775806031987,0.7599222724954325,1.5037347836716208,1.528232779404489,0.07241499963213138,0.08106058168273714,250.1931007786363,533.0601321236594,2.6756801470588236,2.907328431372549,14.522224321352876,18.30783451564338,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,8e-05,g1,1.0,0.8589669610753068,0.8484793294840215,1.7074462905593282,0.044448010848278985,702.1110203138514,96,15.17313065902461,2.7195261437908496,0.8537474621431648,0.8636829047504619,0.8443431864291336,0.8523782559768842,1.6983055753576684,1.7160719061619738,0.04219512086317073,0.0468402402155315,474.0396405142999,968.4603030888153,2.6007066993464054,2.840829248366013,13.473258410564805,17.129977474664845,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_ONE_SIDED_POS,8e-05,gstar,1.3,0.8577014852248704,0.8441339514965659,1.7018354367214363,0.04179497182881331,565.3527357690638,96,16.300185214293222,2.791176470588235,0.8529431251396982,0.861946167540534,0.840741048720849,0.847695924817826,1.6937957412621902,1.709415118978136,0.03939523426594798,0.04399890314271468,358.00585959096327,806.4495526037757,2.6756801470588236,2.907328431372549,14.522224321352876,18.30783451564338,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_TWO_SIDED_ABS,1e-05,g1,1.0,0.5957153748086077,0.591445484422748,1.1871608592313558,0.1746362745286465,333.970201794499,96,15.17313065902461,2.7195261437908496,0.5837249609537639,0.6057900103230257,0.5819006652478326,0.6003565059496895,1.1654140075340427,1.2053167463318557,0.16777816609831628,0.18120580757576488,223.5264458389824,487.51941467975996,2.6007066993464054,2.840829248366013,13.473258410564805,17.129977474664845,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S06B_1791d65dc967,PHASE6_GENERALIZE_B_METRICS,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,B,SPIKE_TWO_SIDED_ABS,1e-05,gstar,0.85,0.5998170806590267,0.5897177354197772,1.189534816078804,0.17871801335375825,357.072723530439,96,15.746170962492428,2.756597222222222,0.5890395791725345,0.612760807521298,0.5807275757803791,0.6003998769359346,1.1703552259022514,1.212406485223829,0.17170791927354426,0.18529837741249502,235.57007781954715,492.98115505646905,2.6371609477124185,2.8791487949346406,13.973483673189127,17.799135496826633,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
