run_id,stage_id,model_id,model_role,dataset_role,spike_def_id,target_rate,g,tau0_baseline,rate_match_tol_abs,achieved_rate_mean,achieved_rate_max_abs_err,b_time,b_depth,b_tot,b_time_perm,b_depth_perm,b_tot_perm,delta_b_time,delta_b_depth,delta_b_tot,chi,crackling_gamma,crackling_ci_low,crackling_ci_high,n_sequences,n_avalanches,avalanche_size_mean,avalanche_size_median,avalanche_span_tokens_mean,avalanche_span_layers_mean,config_hash,code_version,opt_phase4_perm_null_marginals_exact,opt_phase4_shift_null_marginals_exact,opt_b_time_ci_low,opt_b_time_ci_high,opt_b_depth_ci_low,opt_b_depth_ci_high,opt_b_tot_ci_low,opt_b_tot_ci_high,opt_delta_b_time_ci_low,opt_delta_b_time_ci_high,opt_delta_b_depth_ci_low,opt_delta_b_depth_ci_high,opt_delta_b_tot_ci_low,opt_delta_b_tot_ci_high,opt_chi_ci_low,opt_chi_ci_high,opt_b_time_shift,opt_b_depth_shift,opt_b_tot_shift,opt_delta_b_time_shift,opt_delta_b_depth_shift,opt_delta_b_tot_shift,opt_delta_b_time_shift_ci_low,opt_delta_b_time_shift_ci_high,opt_delta_b_depth_shift_ci_low,opt_delta_b_depth_shift_ci_high,opt_delta_b_tot_shift_ci_low,opt_delta_b_tot_shift_ci_high,opt_crackling_ci_width,opt_crackling_n_duration_points,opt_crackling_n_avalanches_used,opt_crackling_r2,opt_crackling_pass
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,0.7,2.5,0.0005,9.969624773415819e-06,9.62815861187025e-08,0.28355717203034864,0.3156051097828193,0.5991622818131679,0.16948141964911234,0.16336995244980398,0.33285137209891635,0.1140757523812363,0.15223515733301532,0.26631090971425153,99.46927514873087,1.7451116595886766,1.6313717902123543,1.8771259788619816,64,30584,2.8329191734240124,1.0,1.4415380591158775,1.529459848286686,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.272285639096421,0.29454967203273297,0.3035892143833134,0.32726238777698835,0.5759823711708009,0.6202141105109185,0.10936670266795648,0.11893981801077791,0.14648711485383822,0.15715799766526145,0.2578626904532099,0.2742096017945986,55.198578525118016,136.8619623705882,0.2829907433630957,0.16486055420573287,0.4478512975688286,0.0005664286672529273,0.15074455557708644,0.1513109842443393,0.00029164256065542795,0.0008327220835488381,0.14569065545116086,0.1555959034770686,0.14631688896113815,0.15623005966896802,0.24575418864962728,15,2969,0.9695561762792549,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,0.8,2.5,0.0005,9.968359037715955e-06,9.950345880926471e-08,0.2787644212876814,0.318377372534425,0.5971417938221064,0.16887234834387793,0.16559732043170822,0.33446966877558615,0.10989207294380349,0.15278005210271678,0.26267212504652027,98.22727700606174,1.7179229440195098,1.630490328482088,1.8962006041123618,64,30662,2.8253538581958124,1.0,1.4310873393777315,1.5386145717826625,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.26577659382166446,0.29180536339787505,0.30551539271156036,0.3307130663535401,0.5711708996068452,0.6212630933611945,0.1047526845927953,0.11484917753995029,0.14781140206169377,0.1578097255453029,0.25411980146346574,0.27149824719537163,60.057805994818736,134.35887940930422,0.2781391886862672,0.16294752512095273,0.4410867138072199,0.0006252326014142273,0.15542984741347227,0.1560550800148865,0.0004227582564220664,0.0008535447487915485,0.1498275836659983,0.16190907006850544,0.1503822789291067,0.16245656139604783,0.26571027563027383,15,2911,0.9434990492073619,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,0.85,2.5,0.0005,9.975263050624301e-06,8.437175219733709e-08,0.2753776480052439,0.31907159669874563,0.5944492447039895,0.16901051753418944,0.16491374430176087,0.3339242618359503,0.10636713047105445,0.15415785239698476,0.2605249828680392,97.99683772608786,1.8135081379643663,1.6630194193787924,1.9120724521472179,64,30786,2.8159228220619763,1.0,1.4242837653478855,1.5391411680634055,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.26178647762190527,0.2872589451465361,0.30573000908087083,0.331614018723106,0.5680062418855012,0.6185491873573541,0.1006499505000867,0.11263527902147033,0.14900594835579403,0.1595342906050321,0.2510885978578407,0.2702401600964701,60.36935457427691,140.47304007902463,0.274573190715967,0.16790811310073592,0.4424813038167029,0.0008044572892769164,0.1511634835980097,0.1519679408872866,0.0005301486987136408,0.0010729999729433336,0.1457835423859104,0.1568662878872885,0.14664005372267433,0.15774792147144087,0.2490530327684255,14,2856,0.9699668393615821,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,0.9,2.5,0.0005,9.972156244815545e-06,7.622929385938911e-08,0.2724223269127557,0.31999522929214624,0.5924175562049019,0.1691066849543801,0.1638738147772676,0.33298049973164767,0.10331564195837559,0.15612141451487865,0.2594370564732542,100.38796962909342,1.7930734154645784,1.6017573982871502,1.9533110839532226,64,30882,2.806294929084904,1.0,1.4176219156790364,1.54076808496859,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.2593981366443301,0.2841961093531215,0.30593558049359926,0.33265168344324886,0.5655282055888302,0.616659712679933,0.09803764315882348,0.10881575310513691,0.14959546645044805,0.16272815176686029,0.24866915414989402,0.2699923727452092,63.714980926587955,137.30800269317407,0.2716470868865168,0.1645446955692051,0.4361917824557219,0.0007752400262389103,0.15545053372294115,0.15622577374918,0.0004803907879811567,0.0010664072203812628,0.1493370585956161,0.16129961492103384,0.15002779503852262,0.16207306206163993,0.35155368566607237,14,2801,0.9301305370814335,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,0.95,2.5,0.0005,9.96663303448887e-06,9.62815861187025e-08,0.2718584123576072,0.32164370489652294,0.5935021172541302,0.17048368819705373,0.16134371086061908,0.3318273990576728,0.10137472416055349,0.16029999403590386,0.2616747181964574,100.64180982654001,1.7924961255767262,1.6315750915725906,1.9034627559411363,64,30771,2.8148581456566246,1.0,1.4172435084982613,1.5476585096356958,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.2595140368187559,0.2841080247509143,0.3091760294123187,0.3342596229917006,0.5692834498195156,0.6181343767075639,0.09673706174841715,0.10661040565936193,0.15558402986223507,0.16528450584913534,0.2534769325102131,0.27051864939752646,62.27300914661407,145.41073079674874,0.27106816961889424,0.16228305600286277,0.433351225621757,0.0007902427387129762,0.15936064889366017,0.16015089163237317,0.000529081086843318,0.001052655959747313,0.153870085264372,0.1651728463006153,0.15467408576529929,0.16582488344623025,0.2718876643685457,13,2756,0.9695105410362791,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,1.0,2.5,0.0005,9.966748101370676e-06,1.1187558716178181e-07,0.270305344650129,0.32234967705365536,0.5926550217037844,0.1678127657035457,0.16220409015647608,0.3300168558600218,0.10249257894658331,0.16014558689717928,0.2626381658437626,103.46496916666224,1.6861514206743353,1.5681438613445275,1.89695439345558,64,30794,2.8127882054945768,1.0,1.4137494317074755,1.5488406832499837,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.2584334976814785,0.281858758470679,0.3103102491067586,0.33462692829017265,0.5692705147167855,0.6164984673529648,0.09676604639770871,0.10728940629780753,0.15368353004501167,0.16569242240070037,0.25276693301053327,0.27063768401306454,63.70715499137092,143.144295728385,0.2695445934456063,0.1653365951162756,0.43488118856188185,0.000760751204522736,0.15701308193737976,0.15777383314190252,0.0004981353258859761,0.0010664763261123208,0.15014234847097155,0.1626829832004933,0.15094078534098607,0.16345988456331878,0.3288105321110524,15,2719,0.9422774004869902,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,1.05,2.5,0.0005,9.973076779869991e-06,7.755781553458354e-08,0.2689288010886958,0.3233336822742975,0.5922624833629933,0.16913667020592502,0.16342400813530933,0.3325606783412344,0.09979213088277081,0.15990967413898816,0.2597018050217589,104.411643898066,1.6816496382712454,1.5593688586216201,1.9117601768192092,64,30710,2.8222728752849235,1.0,1.4124063822859003,1.5523933572126343,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.25667067475350236,0.27957024575446854,0.3112713991370074,0.3352544301584952,0.568372417009364,0.614125817462176,0.0949229984594031,0.10479764966260453,0.15338170184069788,0.16507726426316574,0.2496458699997597,0.26797054088752686,62.85801050138487,145.7999851879344,0.26815116122568006,0.1637978734540669,0.431949034679747,0.0007776398630157666,0.15953580882023058,0.16031344868324626,0.00048802648835140767,0.0010751779651736095,0.15390426138553334,0.1644616412173952,0.15468264948608232,0.1653675952335921,0.35239131819758907,14,2701,0.9565357444912848,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,1.1,2.5,0.0005,9.965137165025395e-06,9.67454898972853e-08,0.2667536010312214,0.3223915943462686,0.58914519537749,0.17130566422351126,0.1631518203756164,0.33445748459912766,0.09544793680771016,0.15923977397065217,0.25468771077836233,103.11401578824068,1.6323902308945926,1.471351401896861,1.8587655923240158,64,30817,2.8102346107667846,1.0,1.4080215465489827,1.54839861115618,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.25535506332384056,0.278720208601853,0.31267950932914723,0.3346610084757527,0.5687196207604588,0.6130665203666046,0.09079694620088824,0.10077871543095399,0.15427941381639018,0.16471871974161675,0.24627844394679113,0.2644827822886509,63.62606295375202,138.08197925908513,0.2660041668540252,0.16346658273003883,0.42947074958406406,0.0007494341771961954,0.15892501161622974,0.15967444579342593,0.0004793378257725939,0.0010191439339255993,0.15405303690566063,0.16437157841430536,0.15472253536366343,0.16504648193619462,0.38741419042715486,14,2685,0.9491252501903473,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,1.15,2.5,0.0005,9.964791964379974e-06,8.923968550935542e-08,0.26582221488496344,0.32258258168119947,0.588404796566163,0.17122660623433536,0.16064594558088577,0.33187255181522113,0.09459560865062808,0.1619366361003137,0.25653224475094183,101.88555427176436,1.7024982071107742,1.4792695557304205,1.8339026802827423,64,30820,2.809863724853991,1.0,1.4072031148604802,1.5478909798831928,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.253829715668911,0.2772537065119959,0.31106568657813577,0.3327697645121547,0.5657191797740603,0.6091981409111129,0.08989504103104887,0.09872509034472213,0.15689028194615615,0.16736796675702875,0.24833854647864723,0.264155524002047,63.27694394984292,140.27654039341414,0.26498176524440575,0.16273206165298434,0.4277138268973901,0.0008404496405576833,0.15985052002821512,0.16069096966877283,0.0005713602709855284,0.0011561731249626075,0.15429393842436964,0.16490510151588417,0.15519022251617762,0.1657378897676539,0.35463312455232177,14,2707,0.9697454949116566,True
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,1.2,2.5,0.0005,9.969509706534015e-06,8.27959401282327e-08,0.26363663699783496,0.32155099831609335,0.5851876353139283,0.16995429396199183,0.16333894635554486,0.3332932403175367,0.09368234303584314,0.1582120519605485,0.25189439499639155,101.26099057386449,1.72975383998128,1.5905697908030254,1.8575469086612189,64,30903,2.803643659191664,1.0,1.4037795683266996,1.5447367569491635,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata,True,True,0.252012699172787,0.2748455908300708,0.3098453553732958,0.3325093146576302,0.5620509363502919,0.6072779115230232,0.08889427215925039,0.09922671582969687,0.15276158217415897,0.16402622421328028,0.24335376023019714,0.2613841760152356,62.74045595937967,141.49326370785246,0.2627044743805629,0.1653686552802502,0.42807312966081307,0.0009321626172720809,0.15618234303584316,0.1571145056531152,0.000639013636120201,0.0012243577649723933,0.1500879618710445,0.1618820135613659,0.15093277935543933,0.16277575469746658,0.26697711785819345,13,2653,0.9752479977539084,True
