run_id,stage_id,model_id,model_role,dataset_role,spike_def_id,target_rate,g,xmin,n_tail,alpha_powerlaw,lambda_exponential,lognorm_mu,lognorm_sigma,ll_powerlaw,ll_exponential,ll_lognormal,llr_powerlaw_vs_lognormal,llr_powerlaw_vs_exponential,config_hash,code_version
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.7,5.0,7017,2.2033243945017844,0.07425711141212327,2.440469016406718,0.8162799499942892,-22843.008204386024,-25262.755874437476,-25657.02646303395,2814.0182586479277,2419.7476700514526,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.8,5.0,7036,2.2056581179920585,0.07467945996433727,2.438860437009667,0.8133525610823037,-22879.91009709493,-25291.25514854745,-25689.902029732963,2809.991932638033,2411.345051452521,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.85,5.0,7036,2.2083519505192286,0.07474292512959972,2.43701136863641,0.8111173590164287,-22851.196875156656,-25285.27825386252,-25657.529494204515,2806.3326190478583,2434.081378705865,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.9,5.0,7030,2.206578407103545,0.07460627414356667,2.4382278146175422,0.8121109555252431,-22850.58774055422,-25276.580620699737,-25652.807752147717,2802.2200115934975,2425.992880145517,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.95,5.0,7054,2.204781566177596,0.07517691192770057,2.4394638923075265,0.808870462984289,-22947.830245942037,-25309.125022177293,-25720.90095619797,2773.0707102559318,2361.294776235256,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.0,5.0,7052,2.198485792260961,0.07511957135400578,2.443824107462316,0.8081679365507659,-23009.02010042398,-25307.33010755237,-25738.229102654273,2729.2090022302946,2298.3100071283916,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.05,5.0,7045,2.198218129289213,0.07487432379292387,2.444010496136538,0.808987272806777,-22989.067418108134,-25305.247267552953,-25721.13250909945,2732.0650909913165,2316.1798494448194,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.1,5.0,7057,2.2052101087521696,0.07517603570781801,2.4391687558265134,0.8102045343424383,-22952.99722569556,-25319.971008439195,-25741.38656964646,2788.389343950901,2366.9737827436365,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.15,5.0,7107,2.209770634643646,0.07584359592768873,2.4360408827521587,0.8067567464413085,-23066.550975424278,-25436.535827310083,-25871.230669903343,2804.679694479066,2369.9848518858053,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.2,5.0,7066,2.2062849378844414,0.07562476588002355,2.438429445523936,0.8059299794763806,-22970.74710870407,-25310.210325317712,-25731.613181912922,2760.866073208854,2339.4632166136435,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
