run_id,stage_id,model_id,model_role,dataset_role,spike_def_id,target_rate,g,crackling_gamma,crackling_ci_low,crackling_ci_high,crackling_ci_width,n_duration_points,n_avalanches_used,r2,pass,config_hash,code_version
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.85,1.7508800680537433,1.6864687855114673,1.816842716353813,0.13037393084234572,26,5064,0.9810095821869714,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.9,1.7084307899283655,1.634523477178775,1.8060198228134148,0.17149634563463967,27,5030,0.9425842027337715,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,0.95,1.5979226735515923,1.5325980652290474,1.8063736911030253,0.27377562587397786,25,5031,0.9055794766473011,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.0,1.6132858242379566,1.5257578496835682,1.8321407344033873,0.3063828847198191,25,4995,0.901597520388992,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.05,1.6699376276744913,1.5894995487010395,1.8464562088039684,0.25695666010292895,25,4986,0.9318972138982085,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.1,1.685974343002982,1.6089692013464871,1.8447451037418547,0.2357759023953676,24,4978,0.9322677766218498,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.15,1.7291258250661843,1.624016167226561,1.8200090153637827,0.19599284813722173,23,5005,0.9710319523422656,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.2,1.5653232204017906,1.5031614791563594,1.7616933828645784,0.258531903708219,23,4994,0.9130784516151644,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.3,1.6848446908839267,1.608484116568573,1.7571079894115926,0.1486238728430196,24,4927,0.9715161470767439,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.7,1.6524339659947518,1.6162401029102544,1.7110696258618034,0.094829522951549,49,5081,0.9670660593230351,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.8,1.6838189088530928,1.6495826024922984,1.743625612548515,0.09404301005621662,44,5066,0.9843673904428291,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.85,1.6747679574626095,1.6533361790667747,1.7378119964412448,0.08447581737447019,45,5049,0.9810701250852785,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.9,1.6833282328428736,1.656621642480097,1.737445206146451,0.0808235636663539,47,5092,0.9748272972306589,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.95,1.6393953640764922,1.6155106906640917,1.7223201738690106,0.1068094832049189,47,5114,0.9659529097208853,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.0,1.6685714331261188,1.6250868279164332,1.729647600534313,0.10456077261787988,46,5096,0.9809716997977409,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.05,1.650113635065773,1.616484451640992,1.7125544726189286,0.0960700209779366,46,5096,0.9664907727386529,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.1,1.6018925414641116,1.579027485303026,1.6934800274607946,0.11445254215776868,47,5109,0.96047615335814,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.15,1.6239235428841192,1.5990180727850893,1.6934771669203006,0.09445909413521125,48,5180,0.9727296819142245,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.2,1.644595805949469,1.6250978031032013,1.6990189638823026,0.07392116077910127,47,5146,0.9755082529253537,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.3,1.647317625823647,1.6216224960340258,1.7115119956879947,0.08988949965396897,45,5226,0.9839525332599317,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,0.7,1.6852435494518376,1.6544115287187517,1.7392899107870223,0.08487838206827059,61,2272,0.9562352160454941,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,0.8,1.7359502528693715,1.7091029504586457,1.7882843770133519,0.07918142655470617,59,2371,0.9688423951992421,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,0.85,1.7027598151290968,1.6702877387027126,1.7529463637457456,0.08265862504303301,61,2397,0.965638425984335,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,0.9,1.7246339861327815,1.69034152011956,1.7725420554559452,0.08220053533638527,60,2386,0.9633029060824707,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,0.95,1.7050696373176215,1.6849945353879239,1.7641966293728981,0.07920209398497424,61,2398,0.9602132878721131,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,1.0,1.7169418961948417,1.6884263939631265,1.7738291086734492,0.08540271471032268,62,2420,0.9634588652298157,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,1.05,1.7115731448835902,1.6829810190026735,1.764949797539138,0.08196877853646445,61,2416,0.9639463240643824,True,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
